Tweet_count,Username,Text,Created At,Retweets,Likes
1,Vitalik Buterin,@Jeremyybtc We still going to the moon but not just yet,Tue Feb 18 13:33:39 +0000 2025,0,2
2,Vitalik Buterin,@elonmusk @DOGE @dogecoin  u mean 😁,Tue Feb 04 06:16:33 +0000 2025,0,1
3,Vitalik Buterin,@IsabellaDEvans BQu8h3csmUCBMjAYGw3kj4uYjxWQGp8sTjac5TKJpump,Sat Mar 08 14:09:15 +0000 2025,0,0
4,Vitalik Buterin,"@Fityeth BQu8h3csmUCBMjAYGw3kj4uYjxWQGp8sTjac5TKJpump

Paid dex",Sat Mar 08 00:49:38 +0000 2025,0,0
5,Vitalik Buterin,"@Cobratate BQu8h3csmUCBMjAYGw3kj4uYjxWQGp8sTjac5TKJpump

Dex paid from the team",Sat Mar 08 00:32:07 +0000 2025,0,5
6,Vitalik Buterin,"@MonstersCoins BQu8h3csmUCBMjAYGw3kj4uYjxWQGp8sTjac5TKJpump

As soon as thei'r adv plan kicks",Sat Mar 08 17:41:19 +0000 2025,0,1
