Tweet_count,Username,Text,Created At,Retweets,Likes
1,Anonymous,Nazi Elon Musk calls Poland’s leader a small man and commands him to be quiet. That’s how Musk and Trump’s US see Poland: weak and subservient. https://t.co/jEYs8UepKA,Sun Mar 09 16:42:10 +0000 2025,4130,29980
2,Brian Allen,"Tesla’s Takedown: Chicago Protesters Declare War on Musk’s Billionaire Power Grab

If you still think Elon Musk is just a guy who makes electric cars, you’re not paying attention. 

Downtown Chicago just erupted, and the message was clear as a blaring Cybertruck horn: Musk isn’t https://t.co/GocJ66tucR",Sun Mar 09 16:09:21 +0000 2025,10481,38938
3,Art Candee 🍿🥤,"Donald Trump and Elon Musk are getting off of Air Force One in Washington D.C. to go back to ruining our country some more.

They spent the weekend at Mar-a-Lago playing golf and doing nothing to bring down the price of goods or fix the failing Trump economy. https://t.co/2cfAbL6uLS",Sun Mar 09 23:54:13 +0000 2025,841,2258
4,Paul A. Szypula 🇺🇸,"Hey @FBI, please investigate Valerie Costa of Seattle, WA.

She’s openly admitting to stalking and threatening Elon Musk and his Tesla businesses.

She says she’s drawing inspiration from Luigi Mangione.

Costa is a criminal. Arrest and prosecute her now!

https://t.co/3Q2NWFygcP",Sun Mar 09 21:08:57 +0000 2025,3329,6328
5,Robert Reich,"When Trump was sworn in, Elon Musk's corporations were under more than 32 investigations conducted by at least 11 federal agencies.

Most of the cases are now closed or likely to be closed soon, and the federal agencies are being defanged by DOGE.

Funny how that works, huh? https://t.co/0mtBtc5OTm",Sun Mar 09 17:00:11 +0000 2025,13860,26685
6,Jen,Even bears are okay with Elon’s DOGE team.  🤣🤣 https://t.co/FQVMcG8K1x,Sun Mar 09 15:00:21 +0000 2025,83,311
7,Bill Madden,"Nine police officers to protect one Tesla Cybertruck. 😂🤣 

That's how universally loathed Trump's Nazi sidekick Elon Musk has become. $TSLA 👇 https://t.co/aISJ9PhS9S",Sun Mar 09 18:59:11 +0000 2025,862,3218
8,Johnny St.Pete,"🚨THIS IS THE LUIGI MANGIONE EFFECT.

The U.S. Secret Service shot a man after approaching him near the 
EISENHOWER Executive Building. That is where Elon Musk’s office is located. MSM has been trying to inspire with their Butterfly effect. The globalists are terrified of Elon https://t.co/jlzsmEy78G",Sun Mar 09 20:14:36 +0000 2025,77,224
9,MAGA Voice,"BREAKING 🚨 Best friends Donald Trump and Elon Musk board Air Force One together. I love these 2

These two men will save America whether Globalist get in the way or not

LET’S GO 🇺🇸 https://t.co/JzWt1675al",Sun Mar 09 23:35:05 +0000 2025,1126,10351
10,Brian Allen,"So Elon Musk is out here calling Poland’s Foreign Minister a “small man” and telling him to “be quiet”—because nothing says strategic genius like insulting one of America’s closest allies.

Musk and Trump are speedrunning America’s fall from global leadership, all because their https://t.co/hdhOQszbrW",Sun Mar 09 16:44:42 +0000 2025,5487,37473
11,Popular Liberal 🇺🇸,"WOW! Every word from Trump's mouth is a confession. It’s no secret that Americans and our allies see him as a phony con man. 

We're at a point in history where he can sit in the Oval Office and admit that Elon helped him cheat in the election. This is beyond wild! https://t.co/9ZPzWHgPQb",Sun Mar 09 18:08:57 +0000 2025,729,1243
12,(((DeanObeidallah))),Elon Musk is now calling for criminally prosecuting people who donate to Act Blue.  Remember that the first group of people Hitler put in concentration camps were political critics. The Nazi saluting Musk wants to see that happen here as well. https://t.co/DOfyGUreuZ,Sun Mar 09 12:37:58 +0000 2025,1146,1885
13,Dispropaganda,"Imagine if Elon was a Russian asset. 
If he was he would:

-Support pro Russia parties in Europe
-Promote Russian propaganda on X
-Talk regularly with Putin
-Support Putin's war in Ukraine
-Call to end the F35 program
-Destroy US soft power
-Call on the US the exit NATO https://t.co/f6jiEdrXzI",Sun Mar 09 12:08:30 +0000 2025,782,3923
14,Kate Levchuk 🇺🇦🇵🇱🏴󠁧󠁢󠁥󠁮󠁧󠁿,This is how Elon Musk talks to the representatives of nations. Imagine what he thinks about the regular people. Musk is definitely not a friend of humanity. https://t.co/y8mc97uZUC,Sun Mar 09 16:55:32 +0000 2025,809,5703
15,Art Candee 🍿🥤,"AOC on Elon Musk:

""Starlink satellites are already kinda fallin' out of the sky. This is a rickey, rackety system, and he does not deserve these contracts. He has an enormous conflict of interest with these contracts. He's going in, cutting these contracts, and giving them to https://t.co/RtY06mJrVE",Sun Mar 09 18:08:37 +0000 2025,1638,4551
16,Liam Nissan™,"Elon Musk is not your friend, folks https://t.co/k5mOfPBGgb",Sun Mar 09 20:15:26 +0000 2025,1835,13985
17,Elon Musk,"@sikorskiradek Be quiet, small man. 

You pay a tiny fraction of the cost. 

And there is no substitute for Starlink.",Sun Mar 09 15:36:42 +0000 2025,5375,57054
18,Art Candee 🍿🥤,"AOC:

""It's not just that Trump is corrupt. It's that everyone participating in this is corrupt. Elon is corrupt. Jeff Bezos is corrupt. Mark Zuckerberg is corrupt.""

🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥 https://t.co/rtONQaZ4C0",Sun Mar 09 18:32:00 +0000 2025,6366,40114
19,pris,My 4 year old niece getting into my brother in law’s phone and attempting to book a $300 Beluga Whale interaction experience  https://t.co/JHw7Yj8M8e,Sun Mar 09 20:40:34 +0000 2025,2309,89750
